,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,1e-05,3.0344917000000002,8.06865228237526e-06,4.050877763215513e-11,1122244.6875778504,-101.05816462275479,230.07237251301936,379.16807645526796
1,10.0,104.12115384615385,0.1,1e-05,3.0346019500000003,8.096385758981197e-06,4.168254253733844e-11,1122235.7527788258,-100.8887802472451,230.07237251301936,379.16807645526796
2,20.0,104.24230769230769,0.1,1e-05,3.0347122,8.124214560766344e-06,4.288747032472506e-11,1122226.7835275694,-100.71881724756176,230.07266235771147,379.223162409006
3,30.0,104.36346153846154,0.1,1e-05,3.03482245,8.152139015381247e-06,4.412430972005311e-11,1122217.7799575077,-100.54827382800944,230.07295289100415,379.2783373791324
4,40.0,104.48461538461538,0.1,1e-05,3.0349327,8.180159451602724e-06,4.539382545228717e-11,1122208.7415551776,-100.37714822206448,230.07324410529387,379.3336014956242
5,50.0,104.60576923076923,0.1,1e-05,3.0350429500000002,8.208276199337585e-06,4.6696798550342e-11,1122199.6680273565,-100.20543869217286,230.07353601388846,379.3889548778267
6,60.0,104.72692307692307,0.1,1e-05,3.0351532000000003,8.23648958962665e-06,4.803402664438979e-11,1122190.5592976927,-100.03314352954793,230.07382862291988,379.44439763457746
7,70.0,104.84807692307692,0.1,1e-05,3.03526345,8.264799954648564e-06,4.940632427179991e-11,1122181.4150781203,-99.86026105396867,230.07412193149483,379.4999298643308
8,80.0,104.96923076923076,0.1,1e-05,3.0353737,8.293207627723759e-06,5.08145231877708e-11,1122172.2352957327,-99.68678961357786,230.0744159455164,379.55555165527915
9,90.0,105.09038461538462,0.1,1e-05,3.03548395,8.32171294331831e-06,5.225947268070524e-11,1122163.0196675262,-99.51272758468087,230.07471066393856,379.6112630854754
10,100.0,105.21153846153847,0.1,1e-05,3.0355942000000002,8.350316237047917e-06,5.374203989238749e-11,1122153.7679138212,-99.3380733715446,230.07500609244036,379.6670642229523
11,110.0,105.33269230769231,0.1,1e-05,3.03570445,8.37901784568189e-06,5.526311014301611e-11,1122144.479548933,-99.16282540619666,230.07530223655388,379.72295512584253
12,120.0,105.45384615384616,0.1,1e-05,3.0358147,8.40781810714706e-06,5.6823587261150904e-11,1122135.1547183592,-98.98698214822518,230.0755991083555,379.77893584249597
13,130.0,105.575,0.1,1e-05,3.03592495,8.436717360531778e-06,5.842439391862831e-11,1122125.7929429288,-98.81054617892251,230.07589669970875,379.83500641159685
14,140.0,105.69615384615385,0.1,1e-05,3.0360352,8.465715946089919e-06,6.006647197050583e-11,1122116.3941628218,-98.63350781999036,230.07619502240382,379.89116556005797
