,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,1e-05,3.0344917000000002,8.06865228237526e-06,4.050877763215513e-11,20503343824.602253,24.287543014200942,230.07237251301936,379.16807645526796
1,10.0,104.12115384615385,0.1,1e-05,3.0346019500000003,8.096385758981197e-06,4.168254253733844e-11,20503189164.883976,24.40493168194723,230.07237251301936,379.16807645526796
2,20.0,104.24230769230769,0.1,1e-05,3.0347122,8.124214560766344e-06,4.288747032472506e-11,20503033908.797928,24.522742875468943,230.07266235771147,379.223162409006
3,30.0,104.36346153846154,0.1,1e-05,3.03482245,8.152139015381247e-06,4.412430972005311e-11,20502878058.653633,24.640977907838774,230.07295289100415,379.2783373791324
4,40.0,104.48461538461538,0.1,1e-05,3.0349327,8.180159451602724e-06,4.539382545228717e-11,20502721605.563114,24.75963807179779,230.07324410529387,379.3336014956242
5,50.0,104.60576923076923,0.1,1e-05,3.0350429500000002,8.208276199337585e-06,4.6696798550342e-11,20502564544.45069,24.87872463988069,230.07353601388846,379.3889548778267
6,60.0,104.72692307692307,0.1,1e-05,3.0351532000000003,8.23648958962665e-06,4.803402664438979e-11,20502406873.994694,24.998238864541214,230.07382862291988,379.44439763457746
7,70.0,104.84807692307692,0.1,1e-05,3.03526345,8.264799954648564e-06,4.940632427179991e-11,20502248589.2087,25.118181978277764,230.07412193149483,379.4999298643308
8,80.0,104.96923076923076,0.1,1e-05,3.0353737,8.293207627723759e-06,5.08145231877708e-11,20502089688.830673,25.23855519375909,230.0744159455164,379.55555165527915
9,90.0,105.09038461538462,0.1,1e-05,3.03548395,8.32171294331831e-06,5.225947268070524e-11,20501930167.961823,25.35935970395013,230.07471066393856,379.6112630854754
10,100.0,105.21153846153847,0.1,1e-05,3.0355942000000002,8.350316237047917e-06,5.374203989238749e-11,20501770021.7609,25.48059668223788,230.07500609244036,379.6670642229523
11,110.0,105.33269230769231,0.1,1e-05,3.03570445,8.37901784568189e-06,5.526311014301611e-11,20501609241.820747,25.602267282557253,230.07530223655388,379.72295512584253
