,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.0001,3.0344917000000002,8.06865228237526e-06,4.050877763202172e-10,1122244.6875778504,-101.05816462275479,218.35697730817444,367.0858279631669
1,10.0,104.12115384615385,0.1,0.0001,3.0346019500000003,8.096385758981197e-06,4.168254253719459e-10,1122234.3912573026,-100.88843924586288,218.35697730817444,367.0858279631669
2,20.0,104.24230769230769,0.1,0.0001,3.0347122,8.124214560766344e-06,4.2887470324569986e-10,1122224.021284079,-100.71812821783391,218.35721665089937,367.1338681025558
3,30.0,104.36346153846154,0.1,0.0001,3.03482245,8.152139015381247e-06,4.4124309719885974e-10,1122213.5765060212,-100.54722557793701,218.35745720864512,367.1819693937533
4,40.0,104.48461538461538,0.1,0.0001,3.0349327,8.180159451602724e-06,4.539382545210705e-10,1122203.0554260951,-100.37572965627444,218.35769900104214,367.2301329788755
5,50.0,104.60576923076923,0.1,0.0001,3.0350429500000002,8.208276199337585e-06,4.669679855014793e-10,1122192.4569466677,-100.2036388115579,218.35794205552293,367.27835878689666
6,60.0,104.72692307692307,0.1,0.0001,3.0351532000000003,8.23648958962665e-06,4.803402664418072e-10,1122181.7796299506,-100.03095143089925,218.3581863900982,367.32664673695075
7,70.0,104.84807692307692,0.1,0.0001,3.03526345,8.264799954648564e-06,4.940632427157473e-10,1122171.0220699522,-99.85766592960235,218.3584320304471,367.3749967384445
8,80.0,104.96923076923076,0.1,0.0001,3.0353737,8.293207627723759e-06,5.08145231875283e-10,1122160.1828920925,-99.68378075095528,218.3586790013131,367.42340869116936
9,90.0,105.09038461538462,0.1,0.0001,3.03548395,8.32171294331831e-06,5.225947268044413e-10,1122149.2607527946,-99.50929436602259,218.3589273265187,367.4718824854126
10,100.0,105.21153846153847,0.1,0.0001,3.0355942000000002,8.350316237047917e-06,5.374203989210641e-10,1122138.2539858022,-99.33420527343914,218.35917702898112,367.5204180020674
11,110.0,105.33269230769231,0.1,0.0001,3.03570445,8.37901784568189e-06,5.526311014271357e-10,1122127.161313707,-99.15850788717263,218.3594281387869,367.5690151127411
12,120.0,105.45384615384616,0.1,0.0001,3.0358147,8.40781810714706e-06,5.682358726082532e-10,1122115.9811409828,-98.98220489054057,218.35968067693176,367.6176748176303
13,130.0,105.575,0.1,0.0001,3.03592495,8.436717360531778e-06,5.842439391827797e-10,1122104.7119094913,-98.805294863619,218.35993467145562,367.66639582691823
14,140.0,105.69615384615385,0.1,0.0001,3.0360352,8.465715946089919e-06,6.006647197012892e-10,1122093.3519268446,-98.62777234438185,218.36019014932285,367.71517798503123
15,150.0,105.8173076923077,0.1,0.0001,3.0361454500000002,8.494814205244843e-06,6.175078279968204e-10,1122081.8995411259,-98.44963599856486,218.36044714031195,367.7640222459737
16,160.0,105.93846153846154,0.1,0.0001,3.0362557,8.52401248059345e-06,6.347830766865888e-10,1122070.3531403157,-98.27088451812,218.3607056730458,367.81292842484254
17,170.0,106.05961538461538,0.1,0.0001,3.03636595,8.553311115910235e-06,6.525004807257047e-10,1122058.7111516884,-98.09151662101252,218.36096577501237,367.86189632817644
18,180.0,106.18076923076923,0.1,0.0001,3.0364762,8.5827104561513e-06,6.706702610134546e-10,1122046.9717100395,-97.91153105101911,218.36122747258602,367.9109257540557
19,190.0,106.30192307692307,0.1,0.0001,3.03658645,8.612210847458443e-06,6.893028480528178e-10,1122035.1329964972,-97.73092657752673,218.36149079847684,367.96001649220085
20,200.0,106.42307692307692,0.1,0.0001,3.0366967000000002,8.641812637163164e-06,7.084088856637153e-10,1122023.19323783,-97.54969801207766,218.3617557840912,368.0091683240707
21,210.0,106.54423076923077,0.1,0.0001,3.03680695,8.671516173790876e-06,7.279992347506808e-10,1122011.1505443307,-97.36784420665472,218.36202245955627,368.05838210353414
22,220.0,106.66538461538461,0.1,0.0001,3.0369172,8.701321807064868e-06,7.480849771255044e-10,1121999.0030746215,-97.1853640381144,218.36229085734178,368.10765758445103
23,230.0,106.78653846153846,0.1,0.0001,3.03702745,8.731229887910549e-06,7.686774193854423e-10,1121986.7488762557,-97.00225640798901,218.36256100857264,368.15699451280597
24,240.0,106.9076923076923,0.1,0.0001,3.0371377,8.761240768459506e-06,7.897880968476845e-10,1121974.3860476622,-96.81851631551255,218.36283294657557,368.20639262680055
25,250.0,107.02884615384616,0.1,0.0001,3.0372479500000003,8.791354802053703e-06,8.114287775405778e-10,1121961.912425669,-96.63414665543979,218.36310670327182,368.2558527128567
26,260.0,107.15,0.1,0.0001,3.0373582,8.821572343249503e-06,8.336114662523319e-10,1121949.325904569,-96.44914250331145,218.3633823160915,368.30537343292303
27,270.0,107.27115384615385,0.1,0.0001,3.03746845,8.851893747822048e-06,8.563484086377585e-10,1121936.6244351484,-96.26350288889478,218.3636598208886,368.3549555462039
28,280.0,107.3923076923077,0.1,0.0001,3.0375787,8.882319372769315e-06,8.796520953837108e-10,1121923.805872076,-96.0772229946431,218.363939251974,368.40459874969065
29,290.0,107.51346153846154,0.1,0.0001,3.03768895,8.912849576316368e-06,9.035352664338488e-10,1121910.8679784422,-95.89030578566211,218.36422064547563,368.4543037648651
30,300.0,107.63461538461539,0.1,0.0001,3.0377992000000003,8.943484717919501e-06,9.280109152733046e-10,1121897.8085790349,-95.70274651861595,218.36450403922152,368.5040692376548
31,310.0,107.75576923076923,0.1,0.0001,3.03790945,8.974225158270601e-06,9.530922932740025e-10,1121884.6252643962,-95.51454051830795,218.36478946937186,368.55389586344626
32,320.0,107.87692307692308,0.1,0.0001,3.0380197,9.00507125930125e-06,9.787929141011698e-10,1121871.315838761,-95.3256869927412,218.3650769768852,368.6037843139125
33,330.0,107.99807692307692,0.1,0.0001,3.03812995,9.036023384187107e-06,1.0051265581817135e-09,1121857.8777348315,-95.13618897384742,218.36536659772605,368.65373422926547
34,340.0,108.11923076923077,0.1,0.0001,3.0382402,9.067081897352118e-06,1.03210727723518e-09,1121844.3086019747,-94.94603810707206,218.36565837561304,368.70374424096553
35,350.0,108.24038461538461,0.1,0.0001,3.0383504500000003,9.098247164472845e-06,1.0597493988678013e-09,1121830.6058738583,-94.75523369791213,218.3659523492043,368.75381597930215
