,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,1122244.6875778504,-101.05816462275479,260.35348895970355,385.4374140462596
1,10.0,104.12115384615385,0.1,0.0,3.0346019500000003,8.096385758981197e-06,1.598240684185869e-22,1122235.9040012874,-100.88881865287709,260.35348895970355,385.4374140462596
2,20.0,104.24230769230769,0.1,0.0,3.0347122,8.124214560766344e-06,1.7229410583071816e-22,1122227.0904501313,-100.71889389413744,260.3539893628397,385.4958906670938
3,30.0,104.36346153846154,0.1,0.0,3.03482245,8.152139015381247e-06,1.857047037263626e-22,1122218.2468074835,-100.54838855105557,260.3544910558093,385.55447023886825
4,40.0,104.48461538461538,0.1,0.0,3.0349327,8.180159451602724e-06,2.0012433238561318e-22,1122209.3731767614,-100.37730508154695,260.3549940424377,385.61315296179123
5,50.0,104.60576923076923,0.1,0.0,3.0350429500000002,8.208276199337585e-06,2.1562626423866365e-22,1122200.4692236094,-100.20563750586517,260.35549831401363,385.67193757469323
6,60.0,104.72692307692307,0.1,0.0,3.0351532000000003,8.23648958962665e-06,2.3228889769241935e-22,1122191.5348347193,-100.03338411548667,260.35600388669786,385.7308257128046
7,70.0,104.84807692307692,0.1,0.0,3.03526345,8.264799954648564e-06,2.5019610190499635e-22,1122182.5701148259,-99.86054741145784,260.3565107640631,385.78981754410773
8,80.0,104.96923076923076,0.1,0.0,3.0353737,8.293207627723759e-06,2.6943758380462105e-22,1122173.5747353393,-99.68712154310116,260.35701893730635,385.8489117975367
9,90.0,105.09038461538462,0.1,0.0,3.03548395,8.32171294331831e-06,2.901092787260462e-22,1122164.5488018293,-99.51310903942158,260.35752842218227,385.9081100548238
