,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0,3.0344917000000002,8.06865228237526e-06,1.4823061925720978e-22,1122244.6875778504,-101.05816462275479,260.43802642553794,391.4698830484637
1,10.0,104.12115384615385,0.3,0.0,3.0346019500000003,8.096385758981197e-06,1.598240684185869e-22,1122237.748691443,-100.92438259925923,260.43802642553794,391.4698830484637
2,20.0,104.24230769230769,0.3,0.0,3.0347122,8.124214560766344e-06,1.7229410583071816e-22,1122230.7863563874,-100.79012346578571,260.43842229163187,391.5197301954268
3,30.0,104.36346153846154,0.3,0.0,3.03482245,8.152139015381247e-06,1.857047037263626e-22,1122223.8000955868,-100.65537816352573,260.4388191639707,391.5696641166028
4,40.0,104.48461538461538,0.3,0.0,3.0349327,8.180159451602724e-06,2.0012433238561318e-22,1122216.7899915648,-100.52014843288003,260.4392170675061,391.6196877323686
5,50.0,104.60576923076923,0.3,0.0,3.0350429500000002,8.208276199337585e-06,2.1562626423866365e-22,1122209.7561260078,-100.38443600083625,260.4396159952753,391.6697999503211
6,60.0,104.72692307692307,0.3,0.0,3.0351532000000003,8.23648958962665e-06,2.3228889769241935e-22,1122202.6983042958,-100.2482372652053,260.44001594037496,391.71999968673
7,70.0,104.84807692307692,0.3,0.0,3.03526345,8.264799954648564e-06,2.5019610190499635e-22,1122195.6163338001,-100.1115486657956,260.44041691161124,391.77028782832343
8,80.0,104.96923076923076,0.3,0.0,3.0353737,8.293207627723759e-06,2.6943758380462105e-22,1122188.5100238726,-99.97436668427571,260.4408189176494,391.8206652420198
9,90.0,105.09038461538462,0.3,0.0,3.03548395,8.32171294331831e-06,2.901092787260462e-22,1122181.3794584877,-99.83669310807518,260.4412219670154,391.8711327751026
10,100.0,105.21153846153847,0.3,0.0,3.0355942000000002,8.350316237047917e-06,3.1231376611838106e-22,1122174.2247207675,-99.69852971090468,260.44162605264523,391.92168932321607
11,110.0,105.33269230769231,0.3,0.0,3.03570445,8.37901784568189e-06,3.3616071186360193e-22,1122167.0453513868,-99.55986779270432,260.4420311675351,391.97233379076334
12,120.0,105.45384615384616,0.3,0.0,3.0358147,8.40781810714706e-06,3.617673388352189e-22,1122159.8417053535,-99.42071438833288,260.4424373353821,392.0230689163017
13,130.0,105.575,0.3,0.0,3.03592495,8.436717360531778e-06,3.892589274215841e-22,1122152.6133271875,-99.28106087595728,260.44284453378606,392.0738916825157
14,140.0,105.69615384615385,0.3,0.0,3.0360352,8.465715946089919e-06,4.1876934783889396e-22,1122145.3603021468,-99.1409090872577,260.4432527861735,392.1248047886876
15,150.0,105.8173076923077,0.3,0.0,3.0361454500000002,8.494814205244843e-06,4.504416261647726e-22,1122138.0827146268,-99.00026083993298,260.4436620853911,392.17580712026756
16,160.0,105.93846153846154,0.3,0.0,3.0362557,8.52401248059345e-06,4.844285461352967e-22,1122130.7801157413,-98.85910764683163,260.4440724243469,392.22689757152426
17,170.0,106.05961538461538,0.3,0.0,3.03636595,8.553311115910235e-06,5.2089328886622115e-22,1122123.452591806,-98.71745137235945,260.4444838260039,392.2780787750617
18,180.0,106.18076923076923,0.3,0.0,3.0364762,8.5827104561513e-06,5.600101127835126e-22,1122116.1002282635,-98.57529386670818,260.44489628313534,392.3293496074979
19,190.0,106.30192307692307,0.3,0.0,3.03658645,8.612210847458443e-06,6.019650761798697e-22,1122108.7225827035,-98.43262677561705,260.44530978857654,392.3807089543445
20,200.0,106.42307692307692,0.3,0.0,3.0366967000000002,8.641812637163164e-06,6.469568049518815e-22,1122101.319742432,-98.28945199508311,260.44572436483645,392.43215938303456
21,210.0,106.54423076923077,0.3,0.0,3.03680695,8.671516173790876e-06,6.951973082188987e-22,1122093.8915321815,-98.14576634492724,260.44614000462,392.4836997620754
22,220.0,106.66538461538461,0.3,0.0,3.0369172,8.701321807064868e-06,7.469128446781379e-22,1122086.4380392793,-98.00157172918891,260.4465567153748,392.535330786858
23,230.0,106.78653846153846,0.3,0.0,3.03702745,8.731229887910549e-06,8.023448427129753e-22,1122078.9590902643,-97.85686500887209,260.44697448980463,392.5870513266322
24,240.0,106.9076923076923,0.3,0.0,3.0371377,8.761240768459506e-06,8.61750877442328e-22,1122071.4547724721,-97.71164809582451,260.4473933352309,392.63886205906823
25,250.0,107.02884615384616,0.3,0.0,3.0372479500000003,8.791354802053703e-06,9.254057080789527e-22,1122063.9246560878,-97.56591289609416,260.44781324435746,392.69076185426917
26,260.0,107.15,0.3,0.0,3.0373582,8.821572343249503e-06,9.936023791544236e-22,1122056.368830201,-97.41966136554542,260.4482342388137,392.74275315376343
27,270.0,107.27115384615385,0.3,0.0,3.03746845,8.851893747822048e-06,1.066653389368617e-21,1122048.7873829997,-97.2728954452335,260.44865631118165,392.7948348118897
28,280.0,107.3923076923077,0.3,0.0,3.0375787,8.882319372769315e-06,1.1448919320317736e-21,1122041.179890787,-97.12560716858928,260.44907945410625,392.84700569204216
29,290.0,107.51346153846154,0.3,0.0,3.03768895,8.912849576316368e-06,1.2286732112894477e-21,1122033.5464434505,-96.97779851980175,260.44950368879086,392.8992681749702
30,300.0,107.63461538461539,0.3,0.0,3.0377992000000003,8.943484717919501e-06,1.318375838553748e-21,1122025.8871299692,-96.8294714680847,260.4499290077627,392.95162110889663
31,310.0,107.75576923076923,0.3,0.0,3.03790945,8.974225158270601e-06,1.4144033138107764e-21,1122018.201532646,-96.68061817239091,260.4503554036126,393.00406335113337
32,320.0,107.87692307692308,0.3,0.0,3.0380197,9.00507125930125e-06,1.5171855967325131e-21,1122010.4897421075,-96.53124064419501,260.45078289712677,393.0565972230661
33,330.0,107.99807692307692,0.3,0.0,3.03812995,9.036023384187107e-06,1.627180772794116e-21,1122002.7515969027,-96.38133601448062,260.45121148078204,393.1092215674098
34,340.0,108.11923076923077,0.3,0.0,3.0382402,9.067081897352118e-06,1.744876819884793e-21,1121994.9869372428,-96.23090145111836,260.45164116106537,393.1619369459675
35,350.0,108.24038461538461,0.3,0.0,3.0383504500000003,9.098247164472845e-06,1.8707934812011953e-21,1121987.1958544247,-96.07993899171035,260.45207194434903,393.2147439047525
36,360.0,108.36153846153846,0.3,0.0,3.0384607,9.129519552482688e-06,2.0054842505312733e-21,1121979.3781902303,-95.92844584142613,260.452503823064,393.26764128163705
