,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling Low Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.3,0.0001,3.0344917000000002,8.06865228237526e-06,4.050877763202172e-10,1122244.6875778504,-101.05816462275479,218.92768492491047,371.83035434095456
1,10.0,104.12115384615385,0.3,0.0001,3.0346019500000003,8.096385758981197e-06,4.168254253719459e-10,1122236.553855653,-100.92408579190226,218.92768492491047,371.83035434095456
2,20.0,104.24230769230769,0.3,0.0001,3.0347122,8.124214560766344e-06,4.2887470324569986e-10,1122228.3618429701,-100.78951488409245,218.92787794037565,371.8712195648082
3,30.0,104.36346153846154,0.3,0.0001,3.03482245,8.152139015381247e-06,4.4124309719885974e-10,1122220.110540125,-100.65445368287331,218.9280719456803,371.9121399630842
4,40.0,104.48461538461538,0.3,0.0001,3.0349327,8.180159451602724e-06,4.539382545210705e-10,1122211.7992028676,-100.51889862026748,218.92826695886498,371.95311447111084
5,50.0,104.60576923076923,0.3,0.0001,3.0350429500000002,8.208276199337585e-06,4.669679855014793e-10,1122203.4266385892,-100.3828514905976,218.92846299180198,371.99414364661806
6,60.0,104.72692307692307,0.3,0.0001,3.0351532000000003,8.23648958962665e-06,4.803402664418072e-10,1122194.9916807706,-100.24630346936075,218.92866006681058,372.035226423675
7,70.0,104.84807692307692,0.3,0.0001,3.03526345,8.264799954648564e-06,4.940632427157473e-10,1122186.4934174777,-100.10925640000593,218.92885820542597,372.0763649371515
8,80.0,104.96923076923076,0.3,0.0001,3.0353737,8.293207627723759e-06,5.08145231875283e-10,1122177.9305029993,-99.97171211146103,218.92905742304782,372.11755810326326
9,90.0,105.09038461538462,0.3,0.0001,3.03548395,8.32171294331831e-06,5.225947268044413e-10,1122169.302072634,-99.83366716844635,218.92925774509297,372.15880484625836
10,100.0,105.21153846153847,0.3,0.0001,3.0355942000000002,8.350316237047917e-06,5.374203989210641e-10,1122160.606834151,-99.69511817714047,218.92945918555526,372.200105667969
11,110.0,105.33269230769231,0.3,0.0001,3.03570445,8.37901784568189e-06,5.526311014271357e-10,1122151.8437468556,-99.5560617850136,218.9296617682654,372.24146105274457
12,120.0,105.45384615384616,0.3,0.0001,3.0358147,8.40781810714706e-06,5.682358726082532e-10,1122143.0113539381,-99.41649987818478,218.92986551102018,372.28287146761875
13,130.0,105.575,0.3,0.0001,3.03592495,8.436717360531778e-06,5.842439391827797e-10,1122134.1086694757,-99.27642914761583,218.9300704411221,372.3243358192874
14,140.0,105.69615384615385,0.3,0.0001,3.0360352,8.465715946089919e-06,6.006647197012892e-10,1122125.1342975954,-99.13584632495949,218.93027657476156,372.3658545570147
15,150.0,105.8173076923077,0.3,0.0001,3.0361454500000002,8.494814205244843e-06,6.175078279968204e-10,1122116.0868757581,-98.99475332808191,218.93048393746014,372.40742811317756
16,160.0,105.93846153846154,0.3,0.0001,3.0362557,8.52401248059345e-06,6.347830766865888e-10,1122106.9650743112,-98.85314693117813,218.93069255377037,372.4490553863007
17,170.0,106.05961538461538,0.3,0.0001,3.03636595,8.553311115910235e-06,6.525004807257047e-10,1122097.7678073645,-98.711023948529,218.93090244729294,372.49073679159164
18,180.0,106.18076923076923,0.3,0.0001,3.0364762,8.5827104561513e-06,6.706702610134546e-10,1122088.493386885,-98.5683863285926,218.93111363584038,372.53247272779083
19,190.0,106.30192307692307,0.3,0.0001,3.03658645,8.612210847458443e-06,6.893028480528178e-10,1122079.140582447,-98.42522585002236,218.93132615086728,372.5742620858761
20,200.0,106.42307692307692,0.3,0.0001,3.0366967000000002,8.641812637163164e-06,7.084088856637153e-10,1122069.7079883863,-98.28154956636605,218.93154001312251,372.6161067309888
21,210.0,106.54423076923077,0.3,0.0001,3.03680695,8.671516173790876e-06,7.279992347506808e-10,1122060.193825974,-98.13734933131866,218.93175524717716,372.6580040643856
22,220.0,106.66538461538461,0.3,0.0001,3.0369172,8.701321807064868e-06,7.480849771255044e-10,1122050.596969613,-97.99262211862174,218.9319718858957,372.69995591812693
23,230.0,106.78653846153846,0.3,0.0001,3.03702745,8.731229887910549e-06,7.686774193854423e-10,1122040.9157204034,-97.84736494091322,218.93218994704705,372.74196262668374
24,240.0,106.9076923076923,0.3,0.0001,3.0371377,8.761240768459506e-06,7.897880968476845e-10,1122031.1484236857,-97.70158483375108,218.93240946123797,372.7840245089564
25,250.0,107.02884615384616,0.3,0.0001,3.0372479500000003,8.791354802053703e-06,8.114287775405778e-10,1122021.2938627885,-97.55527383637211,218.932630457831,372.82613898621366
26,260.0,107.15,0.3,0.0001,3.0373582,8.821572343249503e-06,8.336114662523319e-10,1122011.3498759703,-97.40842903912284,218.93285295606253,372.86830781040635
27,270.0,107.27115384615385,0.3,0.0001,3.03746845,8.851893747822048e-06,8.563484086377585e-10,1122001.315134199,-97.26105251202864,218.9330769962874,372.91053127001027
28,280.0,107.3923076923077,0.3,0.0001,3.0375787,8.882319372769315e-06,8.796520953837108e-10,1121991.1877686542,-97.1131413839639,218.93330259982957,372.9528082219911
29,290.0,107.51346153846154,0.3,0.0001,3.03768895,8.912849576316368e-06,9.035352664338488e-10,1121980.9661516799,-96.96469282145358,218.93352979993253,372.99513894013006
30,300.0,107.63461538461539,0.3,0.0001,3.0377992000000003,8.943484717919501e-06,9.280109152733046e-10,1121970.648323747,-96.815704028467,218.93375862417332,373.0375236834192
31,310.0,107.75576923076923,0.3,0.0001,3.03790945,8.974225158270601e-06,9.530922932740025e-10,1121960.232753032,-96.66617224620879,218.93398910730954,373.0799626962165
32,320.0,107.87692307692308,0.3,0.0001,3.0380197,9.00507125930125e-06,9.787929141011698e-10,1121949.7173962328,-96.51609961095036,218.93422127428443,373.1224562084011
33,330.0,107.99807692307692,0.3,0.0001,3.03812995,9.036023384187107e-06,1.0051265581817135e-09,1121939.1004509628,-96.36547855922683,218.93445516119868,373.16500305932504
34,340.0,108.11923076923077,0.3,0.0001,3.0382402,9.067081897352118e-06,1.03210727723518e-09,1121928.3798038177,-96.2143160923394,218.93469079851343,373.20760483344793
35,350.0,108.24038461538461,0.3,0.0001,3.0383504500000003,9.098247164472845e-06,1.0597493988678013e-09,1121917.5535818974,-96.06260471611293,218.93492822331993,373.25025899741655
36,360.0,108.36153846153846,0.3,0.0001,3.0384607,9.129519552482688e-06,1.0880675312304784e-09,1121906.6197891172,-95.91034181775196,218.9351674670922,373.292967106528
37,370.0,108.4826923076923,0.3,0.0001,3.03857095,9.160899429576343e-06,1.1170765677411778e-09,1121895.5763120728,-95.75752482042785,218.9354085637527,373.33572933509936
38,380.0,108.60384615384615,0.3,0.0001,3.0386812,9.192387165213986e-06,1.1467916918725343e-09,1121884.4211000088,-95.60415118305933,218.93565154951966,373.37854584379
