,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s,delta_path_loss,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K),alpha_s low band,alpha_s high band
28,280.0,107.3923076923077,0.1,0,2.782486886353033,7.67808004165806e-06,1.1448919320317736e-21,2.59170656711478e-07,0.9999948166002997,1283433.7987351017,2.3052969410828403,2.3052969410828403,2.59170656711478e-07,1.992136259479628e-05
29,290.0,107.51346153846154,0.1,0,2.782582188949385,7.704466920434956e-06,1.2286732112894477e-21,2.600545992470539e-07,0.9999947989215408,1283426.528229668,2.367617263939695,2.367617263939695,2.600545992470539e-07,1.9989307554258937e-05
30,300.0,107.63461538461539,0.1,0,2.782677491494683,7.73094448208894e-06,1.318375838553748e-21,2.609409427759544e-07,0.9999947811947625,1283419.2329866292,2.4301776358029104,2.4301776358029104,2.609409427759544e-07,2.0057437068019575e-05
31,310.0,107.75576923076923,0.1,0,2.7827727939889306,7.757513038268061e-06,1.4144033138107764e-21,2.6183503990108776e-07,0.9999947633129135,1283411.9127896465,2.492979941842896,2.492979941842896,2.6183503990108776e-07,2.0126162568239205e-05
32,320.0,107.87692307692308,0.1,0,2.7828680964321344,7.784172901691344e-06,1.5171855967325131e-21,2.627314529346945e-07,0.9999947453847469,1283404.5675744093,2.5560247624003254,2.5560247624003254,2.627314529346945e-07,2.019506608264077e-05
33,330.0,107.99807692307692,0.1,0,2.7829633988242986,7.810924386152587e-06,1.627180772794116e-21,2.636301582526515e-07,0.9999947274107351,1283397.1972772696,2.619312670873245,2.619312670873245,2.636301582526515e-07,2.026414579533688e-05
34,340.0,108.11923076923077,0.1,0,2.783058701165429,7.837767806523977e-06,1.744876819884793e-21,2.6453113249187063e-07,0.9999947093913455,1283389.8018352361,2.6828442337623577,2.6828442337623577,2.6453113249187063e-07,2.0333399910504854e-05
35,350.0,108.24038461538461,0.1,0,2.783154003455529,7.864703478759845e-06,1.8707934812011953e-21,2.6543965651440877e-07,0.9999946912209613,1283382.381037686,2.746621284635911,2.746621284635911,2.6543965651440877e-07,2.0403234345887e-05
36,360.0,108.36153846153846,0.1,0,2.7832493056946035,7.891731719900306e-06,2.0054842505312733e-21,2.6634508150807487e-07,0.9999946731125577,1283374.934971705,2.810643097697253,2.810643097697253,2.6634508150807487e-07,2.0472830571903023e-05
37,370.0,108.4826923076923,0.1,0,2.7833446078826585,7.918852848075111e-06,2.1495384763691233e-21,2.67252706954616e-07,0.9999946549601457,1283367.4635762242,2.8749102190335503,2.8749102190335503,2.67252706954616e-07,2.054259593751283e-05
38,380.0,108.60384615384615,0.1,0,2.7834399100196987,7.946067182507258e-06,2.303583591653825e-21,2.681677605185583e-07,0.9999946366591724,1283359.9666440338,2.9394244505674636,2.9394244505674636,2.681677605185583e-07,2.0612932271387416e-05
39,390.0,108.725,0.1,0,2.783535212105728,7.973375043516876e-06,2.468287476294234e-21,2.690849344100834e-07,0.9999946183157931,1283352.4441163144,3.0041863165300584,3.0041863165300584,2.690849344100834e-07,2.068343158596026e-05
40,400.0,108.84615384615384,0.1,0,2.7836305141407527,8.000776752524903e-06,2.644360960030829e-21,2.7000420702165003e-07,0.99999459993044,1283344.895934852,3.0691963345555706,3.0691963345555706,2.7000420702165003e-07,2.0754092220350173e-05
41,410.0,108.96730769230768,0.1,0,2.7837258161247758,8.028272632056938e-06,2.8325604735934062e-21,2.709307534560139e-07,0.9999945813996115,1283337.321896765,3.1344562669518874,3.1344562669518874,2.709307534560139e-07,2.082531196302508e-05
42,420.0,109.08846153846154,0.1,0,2.783821118057804,8.055863005746952e-06,3.0336908565445027e-21,2.7185414200835104e-07,0.9999945629319408,1283329.7220907984,3.1999653623943525,3.1999653623943525,2.7185414200835104e-07,2.0896288972538435e-05
43,430.0,109.20961538461539,0.1,0,2.783916419939841,8.083548198341158e-06,3.2486083306481754e-21,2.727847271419208e-07,0.9999945443203394,1283322.0963162372,3.2657253627287957,3.2657253627287957,2.727847271419208e-07,2.0967819153101305e-05
44,440.0,109.33076923076923,0.1,0,2.7840117217708924,8.11132853570185e-06,3.478223648080106e-21,2.737172919905843e-07,0.9999945256691444,1283314.4445182101,3.331736751261958,3.331736751261958,2.737172919905843e-07,2.1039501506069484e-05
45,450.0,109.45192307692308,0.1,0,2.7841070235509626,8.139204344811213e-06,3.7235054242921016e-21,2.746518163883073e-07,0.9999945069787589,1283306.766642411,3.3980000049550405,3.3980000049550405,2.746518163883073e-07,2.11113344813644e-05
46,460.0,109.57307692307693,0.1,0,2.7842023252800563,8.167175953775121e-06,3.9854836658695844e-21,2.7559338894842216e-07,0.9999944881474113,1283299.062492288,3.4645168269951765,3.4645168269951765,2.7559338894842216e-07,2.1183709219374347e-05
47,470.0,109.69423076923077,0.1,0,2.7842976269581783,8.195243691827113e-06,4.2652535042703474e-21,2.765368466528958e-07,0.9999944692783614,1283291.3320156245,3.531287673429391,3.531287673429391,2.765368466528958e-07,2.1256228860533407e-05
48,480.0,109.81538461538462,0.1,0,2.784392928585335,8.223407889332135e-06,4.5639791469108235e-21,2.7747709649875277e-07,0.9999944504734687,1283283.5753025785,3.598311769024206,3.598311769024206,2.7747709649875277e-07,2.132850192703981e-05
