,Depth (m),Temperature (K),Porosity (m^3/m^3),Salt fraction (kg/kg),epsilon_s_prime,epsilon_s_primeprime,sigma_s,alpha_s low band,alpha_s high band,delta_path_loss low band,delta_path_loss high band,T_A Downwelling Low Band (K),T_A Downwelling High Band (K),T_A Upwelling High Band (K)
0,0.0,104.0,0.1,1e-05,2.779818392907423,6.97483236582961e-06,4.050877763215513e-11,2.401205248077097e-07,1.8109927259747235e-05,0.9999951976010354,0.9996378670407795,1283627.6309814383,0.655047308604133,0.655047308604133
1,10.0,104.12115384615385,0.1,1e-05,2.7799136969352705,6.998802418043999e-06,4.168254253733844e-11,2.4105680763941043e-07,1.8171829180446695e-05,0.9999951788754688,0.9996366294514661,1283620.8905627427,0.7109421620985371,0.7109421620985371
2,20.0,104.24230769230769,0.1,1e-05,2.7800090009119263,7.0228548472779025e-06,4.288747032472506e-11,2.420011034285168e-07,1.823397714561306e-05,0.9999951599896443,0.9996353869445898,1283614.1237762598,0.7670572543540698,0.7670572543540698
3,30.0,104.36346153846154,0.1,1e-05,2.7801043048373963,7.0469899366346246e-06,4.412430972005311e-11,2.4295331874225916e-07,1.8296823278289582e-05,0.9999951409454304,0.9996341304810163,1283607.3304009724,0.8233947963608594,0.8233947963608594
4,40.0,104.48461538461538,0.1,1e-05,2.780199608711686,7.0712079701904774e-06,4.539382545228717e-11,2.43907588756699e-07,1.835945428402434e-05,0.9999951218601231,0.9996328783199814,1283600.510379858,0.8799541870096169,0.8799541870096169
5,50.0,104.60576923076923,0.1,1e-05,2.7802949125347993,7.095509232997982e-06,4.6696798550342e-11,2.4486963898016917e-07,1.8422323890074436e-05,0.9999951026192127,0.9996316213902665,1283593.6634958063,0.9367362212666838,0.9367362212666838
6,60.0,104.72692307692307,0.1,1e-05,2.780390216306741,7.119894011089357e-06,4.803402664438979e-11,2.4584510479031914e-07,1.8485429661975463e-05,0.9999950831099922,0.999630359740561,1283586.7893741399,0.993741685851553,0.993741685851553
7,70.0,104.84807692307692,0.1,1e-05,2.7804855200275167,7.144362591479796e-06,4.940632427179991e-11,2.468224194485151e-07,1.8548769189309695e-05,0.9999950635637953,0.9996290934190731,1283579.88796361,1.0509713592849637,1.0509713592849637
8,80.0,104.96923076923076,0.1,1e-05,2.780580823697131,7.168915262170904e-06,5.08145231877708e-11,2.4780724245150027e-07,1.8612340085602733e-05,0.9999950438674327,0.9996278224735325,1283572.9590547255,1.1084260119370455,1.1084260119370455
9,90.0,105.09038461538462,0.1,1e-05,2.780676127315589,7.193552312154022e-06,5.225947268070524e-11,2.487938259249727e-07,1.8676139988214683e-05,0.9999950241358612,0.9996265469511919,1283566.0025987169,1.1661064060755018,1.1661064060755018
10,100.0,105.21153846153847,0.1,1e-05,2.7807714308828952,7.218274031413667e-06,5.374203989238749e-11,2.497934215292065e-07,1.8740166558226104e-05,0.9999950041440487,0.9996252668988296,1283559.0182322145,1.224013295913816,1.224013295913816
11,110.0,105.33269230769231,0.1,1e-05,2.780866734399054,7.243080710930972e-06,5.526311014301611e-11,2.5080026023928335e-07,1.880441748031903e-05,0.9999949840073753,0.999623982362752,1283552.005753164,1.2821474276594687,1.2821474276594687
12,120.0,105.45384615384616,0.1,1e-05,2.780962037864071,7.26797264268707e-06,5.6823587261150904e-11,2.518086642093313e-07,1.886844961617673e-05,0.9999949638393973,0.9996227022023988,1283544.9651182692,1.3405081764681257,1.3405081764681257
13,130.0,105.575,0.1,1e-05,2.781057341277952,7.292950119666544e-06,5.842439391862831e-11,2.528297518481488e-07,1.8933583236738205e-05,0.9999949434177476,0.9996214000223311,1283537.8959733667,1.3990989997882208,1.3990989997882208
14,140.0,105.69615384615385,0.1,1e-05,2.7811526446407,7.318013435860884e-06,6.006647197050583e-11,2.538578242722635e-07,1.8998493557300485e-05,0.9999949228564033,0.9996201023082631,1283530.798123644,1.4579192560862024,1.4579192560862024
15,150.0,105.8173076923077,0.1,1e-05,2.781247947952321,7.343162886271918e-06,6.175078280008744e-11,2.5489279696539194e-07,1.906318285887963e-05,0.9999949021570548,0.9996188090145746,1283523.6713766553,1.5169683088938877,1.5169683088938877
16,160.0,105.93846153846154,0.1,1e-05,2.7813432512128196,7.368398766915301e-06,6.347830766909488e-11,2.559345862156496e-07,1.9128957972027602e-05,0.9999948813213762,0.9996174940146342,1283516.5155423046,1.5762495682985251,1.5762495682985251
17,170.0,106.05961538461538,0.1,1e-05,2.7814385544222007,7.3937213748240265e-06,6.52500480730393e-11,2.569885875128005e-07,1.91945076904857e-05,0.9999948602414583,0.9996161835225872,1283509.3302796455,1.6357623814301148,1.6357623814301148
18,180.0,106.18076923076923,0.1,1e-05,2.7815338575804693,7.4191310080518914e-06,6.706702610184947e-11,2.5804373958738845e-07,1.926026620371687e-05,0.9999948391385255,0.9996148688579711,1283502.1155570068,1.6955074398009602,1.6955074398009602
19,190.0,106.30192307692307,0.1,1e-05,2.78162916068763,7.444627965677029e-06,6.893028480582357e-11,2.5911089553042115e-07,1.9326231380415825e-05,0.999994817795517,0.9996135500634119,1283494.871039278,1.7554854273012999,1.7554854273012999
20,200.0,106.42307692307692,0.1,1e-05,2.781724463743688,7.470212547805357e-06,7.084088856695381e-11,2.601899076421354e-07,1.9392401111623794e-05,0.9999947962153869,0.9996122271810889,1283487.5963954877,1.8156970202468736,1.8156970202468736
21,210.0,106.54423076923077,0.1,1e-05,2.7818197667486477,7.495885055574238e-06,7.279992347569377e-11,2.6126985213192925e-07,1.9459200783322553e-05,0.9999947746166097,0.999610891706609,1283480.2916000895,1.8761442148486274,1.8761442148486274
22,220.0,106.66538461538461,0.1,1e-05,2.7819150697025146,7.5216457911558785e-06,7.480849771322266e-11,2.6236144999060105e-07,1.952577192781925e-05,0.9999947527847669,0.9996095608026727,1283472.956327796,1.9368263401570447,1.9368263401570447
23,230.0,106.78653846153846,0.1,1e-05,2.7820103726052934,7.547495057761016e-06,7.686774193926636e-11,2.6346455636994965e-07,1.9592541438061955e-05,0.9999947307227552,0.9996082259347479,1283465.5902573797,1.9977440500556611,1.9977440500556611
24,240.0,106.9076923076923,0.1,1e-05,2.7821056754569886,7.573433159642406e-06,7.897880968554404e-11,2.645737061032337e-07,1.9659930401045428e-05,0.9999947085398777,0.999606878684421,1283458.1932204189,2.058899306725376,2.058899306725376
25,250.0,107.02884615384616,0.1,1e-05,2.7822009782576056,7.599460402098462e-06,8.114287775489067e-11,2.6568882350435514e-07,1.9727510819136132e-05,0.999994686237648,0.9996055276083183,1283450.7650506152,2.120292740607586,2.120292740607586
26,260.0,107.15,0.1,1e-05,2.7822962810071483,7.625577091476718e-06,8.336114662612745e-11,2.668203868915207e-07,1.97952807314704e-05,0.9999946636065008,0.999604172745657,1283443.305288723,2.181924974880401,2.181924974880401
27,270.0,107.27115384615385,0.1,1e-05,2.7823915837056226,7.65178353517763e-06,8.563484086473586e-11,2.679576799845367e-07,1.986281942112734e-05,0.9999946408607605,0.9996028225074489,1283435.8137751136,2.2437953215240203,2.2437953215240203
28,280.0,107.3923076923077,0.1,1e-05,2.782486886353033,7.67808004165806e-06,8.796520953940148e-11,2.691006301374862e-07,1.9930963956159232e-05,0.9999946180018803,0.9996014601589861,1283428.2903521953,2.305905698114304,2.305905698114304
29,290.0,107.51346153846154,0.1,1e-05,2.782582188949385,7.704466920434956e-06,9.03535266444907e-11,2.7025958441833894e-07,1.9999708143718953e-05,0.9999945948229196,0.9996000858241256,1283420.7345731065,2.368258002547077,2.368258002547077
30,300.0,107.63461538461539,0.1,1e-05,2.782677491494683,7.73094448208894e-06,9.280109152851702e-11,2.714239640774126e-07,2.006821684769621e-05,0.9999945715354526,0.9995987161989365,1283413.1462867493,2.4308515283892898,2.4308515283892898
31,310.0,107.75576923076923,0.1,1e-05,2.7827727939889306,7.757513038268061e-06,9.530922932867324e-11,2.725988642583331e-07,2.013690555750275e-05,0.9999945480375768,0.9995973429769569,1283405.5251995884,2.4936868632015377,2.4936868632015377
32,320.0,107.87692307692308,0.1,1e-05,2.7828680964321344,7.784172901691344e-06,9.787929141148246e-11,2.737841495198049e-07,2.020618410695664e-05,0.9999945243320011,0.9995959579648372,1283397.871021884,2.5567658722345654,2.5567658722345654
33,330.0,107.99807692307692,0.1,1e-05,2.7829633988242986,7.810924386152587e-06,1.0051265581963583e-10,2.7497968556885426e-07,2.0275636198898333e-05,0.9999945004214114,0.999594569485194,1283390.1834676599,2.6200891205300687,2.6200891205300687
34,340.0,108.11923076923077,0.1,1e-05,2.783058701165429,7.837767806523977e-06,1.0321072772508839e-10,2.761853392863609e-07,2.0345260056075303e-05,0.9999944763084699,0.9995931775735724,1283382.4622546718,2.6836571662679725,2.6836571662679725
35,350.0,108.24038461538461,0.1,1e-05,2.783154003455529,7.864703478759845e-06,1.0597493988846386e-10,2.7740097875063793e-07,2.0415053921114125e-05,0.9999944519958153,0.9995917822651196,1283374.7071043733,2.747470560811693,2.747470560811693
36,360.0,108.36153846153846,0.1,1e-05,2.7832493056946035,7.891731719900306e-06,1.088067531248528e-10,2.7862647325911926e-07,2.048501605632929e-05,0.9999944274860614,0.9995903835945895,1283366.9177418796,2.811529848753089,2.811529848753089
37,370.0,108.4826923076923,0.1,1e-05,2.7833446078826585,7.918852848075111e-06,1.1170765677605238e-10,2.798667238913942e-07,2.0555549416178472e-05,0.9999944026811872,0.9995889735062196,1283359.0937553027,2.875836833493157,2.875836833493157
